,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
0,36528,81.50009361727977,1598867530000,L-D: 07:00-23:00,42.774083,MARCELIN,-8.026028,D,Agolada,,,,1.079,0.749,1.169,,PONTEVEDRA,P
1,36430,24.288874174101842,1598867530000,L: 07:00-23:00,42.105431,ARBO,-8.322459,I,Arbo,,,,1.088,,1.166,,PONTEVEDRA,P
2,36300,17.530047968179318,1598867530000,L-D: 07:00-23:00,42.114111,BAIONA,-8.840056,I,Baiona,,,,1.109,,1.219,,PONTEVEDRA,P
3,36692,32.02092852123517,1598867530000,L-V: 06:30-23:00; S: 07:00-23:00; D: 08:00-23:00,42.501889,CURRO,-8.656444,D,Barro,,,,1.099,,1.199,,PONTEVEDRA,P
