,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
41,32960,26.199170166759735,1598870294000,L-D: 07:00-15:00,42.356944,VELLE,-7.844639,D,Ourense,,,,1.089,,1.199,,OURENSE,P
42,32002,28.996810315021218,1598870294000,L: 07:00-23:00,42.351306,OURENSE,-7.894778,N,Ourense,,,,1.099,,1.199,,OURENSE,P
43,32001,27.557139915830092,1598870294000,L-D: 24H,42.358056,OURENSE,-7.865333,D,Ourense,,,,1.098,,1.208,,OURENSE,P
44,32001,28.040267186312864,1598870294000,L-D: 07:00-23:00,42.353194,OURENSE,-7.878278,D,Ourense,,,,1.069,,1.169,,OURENSE,P
45,32001,27.728375265810218,1598870294000,L-D: 07:00-23:00,42.369833,OURENSE,-7.853778,D,Ourense,,,,1.069,,1.169,,OURENSE,P
46,32593,34.7175856738974,1598870294000,L-D: 24H,42.343389,SANTA CRUZ,-7.983111,I,Ourense,,,,1.109,,1.209,,OURENSE,P
47,32220,47.990719588220784,1598870294000,L: 07:30-23:00,42.137472,PONTEBARXAS,-8.186667,I,Padrenda,,,,1.089,,1.189,,OURENSE,P
48,32710,23.358751468276544,1598870294000,L: 06:00-00:00,42.344972,PEREIRO DE AGUIAR (O),-7.812389,N,Pereiro de Aguiar (O),,,,0.999,,1.098,,OURENSE,P
49,32792,20.336462816907456,1598870294000,L-D: 06:00-23:00,42.322889,DERRASA (A),-7.790167,D,Pereiro de Aguiar (O),,,,1.099,0.882,1.219,,OURENSE,P
50,32150,31.35644943188083,1598870294000,L-D: 07:00-23:00,42.442722,PEROXA (A),-7.798278,D,Peroxa (A),,,,1.069,0.879,1.169,,OURENSE,P
51,32138,48.50195277501171,1598870294000,L-D: 07:00-23:00,42.513028,REINO (O),-8.017417,D,Piñor,,,,1.109,0.729,1.219,,OURENSE,P
52,32780,33.06246737213511,1598870294000,L-V: 06:30-23:00; S-D: 08:00-23:00,42.340417,POBRA DE TRIVES,-7.260361,I,Pobra de Trives (A),,,,1.089,0.862,1.199,,OURENSE,P
53,32593,32.51855414640927,1598870294000,L-S: 07:00-23:00; D: 08:00-23:00,42.177417,RAMIRAS,-8.004194,D,Ramirás,,,,1.069,,1.179,,OURENSE,P
54,32811,35.81634291499109,1598870294000,L-D: 07:00-23:00,42.187444,RAMIRAS,-8.044833,D,Ramirás,,,,1.095,0.829,1.209,,OURENSE,P
55,32400,44.480742738248246,1598870294000,L-D: 07:00-23:00,42.304083,RIBADAVIA,-8.130722,I,Ribadavia,,,,1.119,,1.219,,OURENSE,P
56,32400,41.90122746222731,1598870294000,L-D: 24H,42.31425,RIBADAVIA,-8.093972,D,Ribadavia,,,,1.109,,1.214,,OURENSE,P
57,32611,35.94238577211041,1598870294000,L-D: 24H,41.982722,RIOS,-7.285694,D,Riós,,,,1.119,0.816,1.199,,OURENSE,P
58,32350,48.105211024214334,1598870294000,L-D: 07:00-23:00,42.39875,RUA DE VALDEORRAS (A),-7.095333,D,Rúa (A),,,,1.089,,1.209,,OURENSE,P
59,32911,24.693976914553602,1598870294000,L: 06:00-23:00,42.31325,SAN CIBRAO DAS VIÑAS,-7.866361,I,San Cibrao das Viñas,,,,1.099,,1.199,,OURENSE,P
60,32911,24.59323988078974,1598870294000,L-D: 06:00-23:00,42.313028,SAN CIBRAO DAS VIÑAS,-7.865111,N,San Cibrao das Viñas,,,,1.099,,1.199,,OURENSE,P
61,32911,19.83081835433137,1598870294000,L-D: 24H,42.289722,SAN CIBRAO DAS VIÑAS,-7.816611,D,San Cibrao das Viñas,,,,1.058,,1.188,,OURENSE,P
62,32911,19.632165511014964,1598870294000,L-D: 24H,42.289667,SAN CIBRAO DAS VIÑAS,-7.813833,D,San Cibrao das Viñas,,,0.874,,,,,OURENSE,P
63,32901,19.519521904795788,1598870294000,L-D: 07:30-23:00,42.289972,POLIGONO INDUSTRIAL,-7.811972,D,San Cibrao das Viñas,,,,0.953,,1.083,,OURENSE,P
64,32910,21.73955893815696,1598870294000,L-D: 24H,42.250722,INFESTA (SAN CIBRAO DAS VIÑAS),-7.864556,D,San Cibrao das Viñas,,,,1.129,,1.229,,OURENSE,P
65,32910,21.762917590584436,1598870294000,L-D: 07:00-23:00,42.251056,INFESTA (SAN CIBRAO DAS VIÑAS),-7.864722,I,San Cibrao das Viñas,,,,1.129,,1.229,,OURENSE,P
